job_id,company_name,job_title,location,experience_required,min_skill_level,max_skill_level,salary_lpa,jobs_posted_date,job_status,source_system,event_status,skill_threshold_met
JOB1099,RetailPro,SQL Developer,Delhi,3.0,78.0,96.0,10.8,2026-04-09,Active,Mobile,success,Yes
JOB1100,BrightWorks,Python Developer,Hyderabad,0.0,71.0,71.0,4.7,2026-04-10,Closed,Web,success,Yes
JOB1101,DataBridge,Data Analyst,Pune,4.0,1.0,83.0,9.3,2026-04-11,Active,Web,success,Yes
JOB1102,TechNova,Data Analyst,Patna,3.0,51.0,96.0,9.7,2026-04-12,Active,Mobile,success,Yes
JOB1103,InnoSoft,SQL Developer,Hyderabad,6.0,45.0,57.0,7.7,2026-04-13,Closed,Web,success,Yes
JOB1104,InnoSoft,Python Developer,Pune,5.0,77.0,89.0,11.1,2026-04-14,Active,Mobile,success,Yes
JOB1105,BrightWorks,Python Developer,Mumbai,4.0,4.0,98.0,13.3,2026-04-15,Closed,Mobile,success,Yes
JOB1106,HealthSync,BI Analyst,Hyderabad,1.0,62.0,93.0,13.2,2026-04-16,Active,Web,success,No
JOB1107,FinEdge,BI Analyst,Chennai,0.0,65.0,68.0,8.0,2026-04-17,Active,Web,success,Yes
JOB1108,BrightWorks,BI Analyst,Patna,1.0,32.0,91.0,4.2,2026-04-18,Closed,Web,success,Yes
JOB1109,MarketPulse,BI Analyst,Pune,2.0,34.0,90.0,13.8,2026-04-19,Closed,Mobile,success,No
JOB1110,FinEdge,BI Analyst,Pune,1.0,86.0,86.0,12.2,2026-04-20,Closed,Admin,failed,Yes
JOB1111,TechNova,BI Analyst,Pune,1.0,55.0,55.0,4.4,2026-04-21,Active,Mobile,success,Yes
JOB1112,FinEdge,Data Scientist,Mumbai,4.0,72.0,75.0,13.1,2026-04-22,Active,Web,failed,Yes
JOB1113,HealthSync,Python Developer,Hyderabad,4.0,39.0,83.0,12.6,2026-04-23,Active,Mobile,success,No
JOB1114,FinEdge,BI Analyst,Mumbai,4.0,26.0,94.0,8.7,2026-04-24,Active,Web,success,Yes
JOB1115,TechNova,Python Developer,Bengaluru,5.0,34.0,55.0,9.5,2026-04-25,Draft,Mobile,success,Yes
JOB1116,HealthSync,Python Developer,Bengaluru,2.0,54.0,86.0,7.4,2026-04-26,Active,Web,success,No
JOB1117,EduSphere,Business Analyst,Hyderabad,4.0,3.0,82.0,3.6,2026-04-27,Draft,Mobile,success,No
JOB1118,InnoSoft,Data Scientist,Chennai,0.0,50.0,71.0,6.7,2026-04-28,Active,Web,success,Yes
JOB1119,InnoSoft,BI Analyst,Mumbai,5.0,12.0,70.0,11.8,2026-04-29,Active,Admin,success,Yes
JOB1120,RetailPro,Data Analyst,Patna,3.0,55.0,55.0,3.1,2026-04-30,Active,Web,success,Yes
JOB1121,EduSphere,SQL Developer,Pune,0.0,54.0,55.0,6.7,2026-05-01,Closed,Mobile,success,No
JOB1122,EduSphere,Data Analyst,Pune,6.0,5.0,97.0,7.4,2026-05-02,Closed,Admin,success,Yes
JOB1123,FinEdge,Data Scientist,Hyderabad,6.0,53.0,53.0,8.9,2026-05-03,Closed,Web,failed,Yes
JOB1124,InnoSoft,SQL Developer,Chennai,0.0,79.0,79.0,13.1,2026-05-04,Closed,Admin,success,No
JOB1125,TechNova,Data Scientist,Bengaluru,4.0,57.0,60.0,6.8,2026-05-05,Closed,Mobile,success,Yes
JOB1126,CloudCore,Python Developer,Bengaluru,3.0,17.0,79.0,6.8,2026-05-06,Closed,Web,failed,Yes
JOB1127,CloudCore,SQL Developer,Pune,3.0,47.0,80.0,11.1,2026-05-07,Active,Web,failed,Yes
JOB1128,HealthSync,Python Developer,Hyderabad,5.0,23.0,73.0,8.0,2026-05-08,Active,Mobile,failed,Yes
JOB1129,InnoSoft,Data Analyst,Mumbai,3.0,58.0,58.0,5.5,2026-05-09,Active,Web,success,Yes
JOB1130,InnoSoft,Data Analyst,Bengaluru,6.0,52.0,52.0,8.0,2026-05-10,Draft,Mobile,failed,Yes
JOB1131,CloudCore,SQL Developer,Mumbai,2.0,14.0,100.0,4.5,2026-05-11,Draft,Web,success,Yes
JOB1132,InnoSoft,SQL Developer,Chennai,4.0,66.0,80.0,4.9,2026-05-12,Active,Mobile,failed,Yes
JOB1133,FinEdge,BI Analyst,Bengaluru,3.0,75.0,89.0,8.5,2026-05-13,Closed,Web,success,No
JOB1134,MarketPulse,Data Scientist,Bengaluru,5.0,51.0,86.0,7.6,2026-05-14,Draft,Mobile,success,Yes
JOB1135,DataBridge,BI Analyst,Delhi,6.0,38.0,85.0,13.1,2026-05-15,Active,Admin,success,No
JOB1136,EduSphere,Data Scientist,Bengaluru,2.0,64.0,73.0,7.0,2026-05-16,Active,Admin,success,Yes
JOB1137,RetailPro,BI Analyst,Patna,1.0,80.0,80.0,9.4,2026-05-17,Draft,Mobile,success,No
JOB1138,HealthSync,Python Developer,Hyderabad,1.0,38.0,55.0,10.0,2026-05-18,Active,Web,success,No
JOB1139,MarketPulse,SQL Developer,Hyderabad,2.0,50.0,51.0,3.1,2026-05-19,Closed,Mobile,failed,Yes
JOB1140,CloudCore,Data Analyst,Mumbai,6.0,69.0,69.0,10.3,2026-05-20,Active,Web,failed,No
JOB1141,EduSphere,Data Scientist,Chennai,5.0,77.0,77.0,5.0,2026-05-21,Draft,Web,failed,No
JOB1142,InnoSoft,Data Scientist,Bengaluru,2.0,30.0,60.0,13.6,2026-05-22,Draft,Web,success,Yes
JOB1143,RetailPro,Data Analyst,Patna,4.0,53.0,53.0,4.6,2026-05-23,Draft,Web,success,Yes
JOB1144,InnoSoft,BI Analyst,Mumbai,4.0,64.0,64.0,7.6,2026-05-24,Active,Mobile,success,Yes
JOB1145,TechNova,Data Scientist,Delhi,1.0,51.0,55.0,3.9,2026-05-25,Closed,Mobile,success,No
JOB1146,TechNova,Python Developer,Mumbai,3.0,63.0,98.0,8.5,2026-05-26,Closed,Web,success,No
JOB1147,RetailPro,SQL Developer,Mumbai,5.0,79.0,79.0,8.5,2026-05-27,Active,Web,success,No
JOB1148,RetailPro,Data Analyst,Bengaluru,1.0,52.0,87.0,9.5,2026-05-28,Closed,Admin,success,Yes
JOB1149,CloudCore,SQL Developer,Delhi,3.0,38.0,100.0,3.7,2026-05-29,Active,Web,success,No
JOB1150,RetailPro,Data Scientist,Mumbai,3.0,51.0,51.0,11.2,2026-05-30,Active,Web,failed,Yes
JOB1151,FinEdge,Data Scientist,Patna,4.0,64.0,64.0,5.3,2026-05-31,Active,Web,unknown,Yes
JOB1152,InnoSoft,Data Analyst,Patna,6.0,60.0,60.0,12.9,2026-06-01,Active,Mobile,success,Yes
JOB1153,MarketPulse,Python Developer,Hyderabad,0.0,30.0,57.0,5.3,2026-06-02,Active,Mobile,success,Yes
JOB1154,BrightWorks,Business Analyst,Delhi,6.0,51.0,75.0,5.1,2026-06-03,Closed,Web,success,Yes
JOB1155,RetailPro,Data Analyst,Delhi,0.0,81.0,100.0,3.4,2026-06-04,Active,Web,success,Yes
JOB1156,HealthSync,Business Analyst,Hyderabad,2.0,5.0,94.0,8.2,2026-06-05,Closed,Mobile,failed,Yes
JOB1157,TechNova,BI Analyst,Mumbai,4.0,29.0,93.0,9.2,2026-06-06,Active,Mobile,success,Yes
JOB1158,FinEdge,Business Analyst,Delhi,3.0,4.0,54.0,3.7,2026-06-07,Active,Web,failed,Yes
JOB1159,EduSphere,Python Developer,Patna,5.0,10.0,55.0,11.5,2026-06-08,Active,Admin,success,Yes
JOB1160,BrightWorks,BI Analyst,Patna,0.0,56.0,75.0,8.0,2026-06-09,Closed,Web,success,Yes
JOB1161,MarketPulse,Business Analyst,Bengaluru,6.0,17.0,53.0,8.5,2026-06-10,Active,Web,success,Yes
JOB1162,BrightWorks,BI Analyst,Delhi,3.0,68.0,68.0,7.8,2026-06-11,Active,Admin,success,Yes
JOB1163,RetailPro,Business Analyst,Mumbai,0.0,17.0,69.0,7.4,2026-06-12,Closed,Web,success,Yes
JOB1164,CloudCore,Python Developer,Hyderabad,0.0,82.0,82.0,9.2,2026-06-13,Active,Mobile,success,Yes
JOB1165,TechNova,Business Analyst,Hyderabad,0.0,69.0,69.0,4.7,2026-06-14,Active,Web,success,Yes
JOB1166,TechNova,Business Analyst,Mumbai,5.0,69.0,98.0,5.0,2026-06-15,Active,Web,success,Yes
JOB1167,EduSphere,Business Analyst,Chennai,4.0,34.0,61.0,12.5,2026-06-16,Closed,Admin,failed,Yes
JOB1168,CloudCore,Data Analyst,Pune,5.0,6.0,96.0,13.4,2026-06-17,Active,Web,success,No
JOB1169,InnoSoft,Data Analyst,Bengaluru,1.0,50.0,50.0,7.1,2026-06-18,Closed,Mobile,failed,Yes
JOB1170,DataBridge,Data Analyst,Hyderabad,3.0,66.0,75.0,6.0,2026-06-19,Active,Web,success,Yes
JOB1171,FinEdge,Python Developer,Delhi,3.0,63.0,63.0,10.1,2026-06-20,Draft,Web,success,Yes
JOB1172,TechNova,BI Analyst,Bengaluru,4.0,43.0,87.0,7.5,2026-06-21,Closed,Web,success,Yes
JOB1173,HealthSync,Data Scientist,Delhi,4.0,75.0,86.0,3.3,2026-06-22,Draft,Mobile,success,Yes
JOB1174,TechNova,Business Analyst,Chennai,6.0,23.0,60.0,4.7,2026-06-23,Active,Web,failed,Yes
JOB1175,BrightWorks,Business Analyst,Patna,4.0,55.0,85.0,10.9,2026-06-24,Closed,Mobile,success,Yes
JOB1176,TechNova,Python Developer,Bengaluru,5.0,52.0,62.0,10.2,2026-06-25,Active,Web,failed,Yes
JOB1177,TechNova,Business Analyst,Hyderabad,4.0,92.0,92.0,3.3,2026-06-26,Active,Admin,success,Yes
JOB1178,DataBridge,Data Analyst,Bengaluru,2.0,52.0,52.0,5.4,2026-06-27,Active,Web,success,No
JOB1179,DataBridge,Data Scientist,Bengaluru,3.0,16.0,82.0,5.5,2026-06-28,Closed,Mobile,success,No
JOB1180,MarketPulse,SQL Developer,Bengaluru,4.0,8.0,55.0,10.4,2026-06-29,Draft,Mobile,success,No
